Data;4389 - Taxa de juros - CDI anualizada base 252 - % a.a.
02/01/1995;48,61
03/01/1995;50,12
04/01/1995;49,74
05/01/1995;48,74
06/01/1995;48,24
09/01/1995;48,11
10/01/1995;48,11
11/01/1995;46,63
12/01/1995;47,12
13/01/1995;47,37
16/01/1995;47,37
17/01/1995;47,37
18/01/1995;47,37
19/01/1995;47,62
20/01/1995;47,12
23/01/1995;47,12
24/01/1995;46,51
25/01/1995;46,26
26/01/1995;45,89
27/01/1995;45,77
30/01/1995;46,02
31/01/1995;56,67
01/02/1995;56,54
02/02/1995;56,54
03/02/1995;56,67
06/02/1995;56,94
07/02/1995;56,94
08/02/1995;56,81
09/02/1995;56,94
10/02/1995;57,07
13/02/1995;57,33
14/02/1995;57,20
15/02/1995;57,07
16/02/1995;57,33
17/02/1995;57,33
20/02/1995;57,33
21/02/1995;57,33
22/02/1995;57,33
23/02/1995;57,33
24/02/1995;42,51
01/03/1995;42,27
02/03/1995;42,27
03/03/1995;42,39
06/03/1995;42,51
07/03/1995;42,63
08/03/1995;42,99
09/03/1995;43,23
10/03/1995;87,30
13/03/1995;69,66
14/03/1995;66,84
15/03/1995;66,42
16/03/1995;66,42
17/03/1995;66,42
20/03/1995;66,28
21/03/1995;66,28
22/03/1995;66,14
23/03/1995;66,14
24/03/1995;66,14
27/03/1995;66,14
28/03/1995;66,28
29/03/1995;66,28
30/03/1995;66,14
31/03/1995;85,43
03/04/1995;85,74
04/04/1995;85,74
05/04/1995;85,74
06/04/1995;85,74
07/04/1995;85,74
10/04/1995;86,05
11/04/1995;86,99
12/04/1995;87,14
17/04/1995;86,99
18/04/1995;86,52
19/04/1995;86,20
20/04/1995;85,89
24/04/1995;85,89
25/04/1995;85,74
26/04/1995;85,74
27/04/1995;85,74
28/04/1995;61,34
02/05/1995;61,48
03/05/1995;62,29
04/05/1995;62,15
05/05/1995;61,75
08/05/1995;61,75
09/05/1995;62,02
10/05/1995;62,02
11/05/1995;61,88
12/05/1995;61,75
15/05/1995;61,61
16/05/1995;61,34
17/05/1995;61,21
18/05/1995;61,07
19/05/1995;61,07
22/05/1995;61,07
23/05/1995;61,07
24/05/1995;61,34
25/05/1995;61,07
26/05/1995;61,07
29/05/1995;60,94
30/05/1995;60,94
31/05/1995;60,94
01/06/1995;60,94
02/06/1995;60,94
05/06/1995;60,94
06/06/1995;60,94
07/06/1995;61,21
08/06/1995;61,07
09/06/1995;61,07
12/06/1995;61,07
13/06/1995;61,07
14/06/1995;61,07
16/06/1995;61,07
19/06/1995;61,07
20/06/1995;60,94
21/06/1995;60,94
22/06/1995;60,94
23/06/1995;61,07
26/06/1995;61,07
27/06/1995;61,07
28/06/1995;61,07
